 WL        Abs       T%
 524.0  0.385706  41.142784
 525.0  0.384347  41.271763
 526.0  0.383124  41.388172
 527.0  0.381846  41.510113
 528.0  0.380651  41.624542
 529.0  0.379488  41.736126
 530.0  0.378328  41.847744
 531.0  0.377125  41.963783
 532.0  0.375957  42.076874
 533.0  0.374888  42.180508
 534.0  0.373682  42.297844
 535.0  0.372579  42.405399
 536.0  0.371361  42.524464
 537.0  0.370180  42.640320
 538.0  0.368988  42.757500
 539.0  0.367840  42.870640
 540.0  0.366698  42.983555
 541.0  0.365563  43.096046
 542.0  0.364326  43.218906
 543.0  0.363280  43.323189
 544.0  0.362388  43.412243
 545.0  0.361479  43.503139
 546.0  0.360384  43.613007
 547.0  0.359351  43.716824
 548.0  0.358353  43.817425
 549.0  0.357368  43.916969
 550.0  0.356325  44.022541
 551.0  0.355337  44.122791
 552.0  0.354344  44.223782
 553.0  0.353389  44.321171
 554.0  0.352383  44.423965
 555.0  0.351412  44.523361
 556.0  0.350036  44.664654
 557.0  0.349106  44.760395
 558.0  0.347994  44.875160
 559.0  0.346908  44.987503
 560.0  0.345853  45.096897
 561.0  0.344813  45.205055
 562.0  0.343778  45.312950
 563.0  0.342760  45.419247
 564.0  0.341728  45.527340
 565.0  0.340742  45.630756
 566.0  0.339809  45.728920
 567.0  0.339110  45.802635
 568.0  0.338267  45.891621
 569.0  0.337461  45.976879
 570.0  0.336731  46.054153
 571.0  0.335922  46.140079
 572.0  0.335156  46.221489
 573.0  0.334388  46.303303
 574.0  0.333613  46.386005
 575.0  0.332767  46.476402
 576.0  0.332019  46.556576
 577.0  0.331044  46.661255
 578.0  0.330294  46.741898
 579.0  0.329274  46.851788
 580.0  0.328434  46.942505
 581.0  0.327575  47.035446
 582.0  0.326638  47.136982
 583.0  0.325809  47.227097
 584.0  0.324936  47.322056
 585.0  0.324491  47.370598
 586.0  0.305435  49.495411
 587.0  0.313603  48.573215
 588.0  0.321506  47.697372
 589.0  0.321078  47.744331
 590.0  0.320275  47.832691
 591.0  0.319579  47.909389
 592.0  0.318846  47.990414
 593.0  0.318153  48.066982
 594.0  0.317385  48.152119
 595.0  0.316734  48.224258
 596.0  0.316041  48.301270
 597.0  0.315353  48.377880
 598.0  0.314608  48.461002
 599.0  0.313945  48.535004
 600.0  0.313213  48.616898
 601.0  0.312535  48.692848
 602.0  0.311765  48.779270
 603.0  0.311053  48.859322
 604.0  0.310431  48.929340
 605.0  0.309752  49.005901
 606.0  0.309119  49.077328
 607.0  0.308500  49.147320
 608.0  0.307860  49.219841
 609.0  0.307171  49.297993
 610.0  0.306561  49.367313
 611.0  0.306005  49.430485
 612.0  0.305338  49.506512
 613.0  0.304691  49.580273
 614.0  0.304020  49.656952
 615.0  0.303355  49.733097
 616.0  0.302772  49.799854
 617.0  0.302164  49.869617
 618.0  0.301524  49.943153
 619.0  0.300924  50.012196
 620.0  0.300372  50.075840
 621.0  0.299748  50.147793
 622.0  0.299122  50.220192
 623.0  0.298487  50.293636
 624.0  0.297941  50.356850
 625.0  0.297380  50.422035
 626.0  0.296802  50.489140
 627.0  0.296170  50.562683
 628.0  0.295562  50.633518
 629.0  0.294989  50.700314
 630.0  0.294431  50.765530
 631.0  0.293888  50.829056
 632.0  0.293387  50.887672
 633.0  0.292800  50.956581
 634.0  0.292262  51.019676
 635.0  0.291694  51.086491
 636.0  0.291105  51.155853
 637.0  0.290555  51.220596
 638.0  0.289999  51.286198
 639.0  0.289429  51.353603
 640.0  0.288802  51.427830
 641.0  0.288275  51.490265
 642.0  0.287783  51.548626
 643.0  0.287185  51.619606
 644.0  0.286657  51.682457
 645.0  0.286102  51.748493
 646.0  0.285563  51.812820
 647.0  0.285072  51.871391
 648.0  0.284551  51.933681
 649.0  0.283907  52.010685
 650.0  0.283020  52.117027
 651.0  0.282474  52.182602
 652.0  0.281304  52.323463
 653.0  0.280976  52.362988
 654.0  0.280260  52.449341
 655.0  0.279620  52.526707
 656.0  0.279154  52.583069
 657.0  0.278639  52.645458
 658.0  0.278200  52.698666
 659.0  0.277675  52.762466
 660.0  0.277224  52.817253
 661.0  0.276702  52.880779
 662.0  0.276176  52.944885
 663.0  0.275669  53.006702
 664.0  0.275180  53.066402
 665.0  0.274659  53.130199
 666.0  0.274157  53.191589
 667.0  0.273655  53.253136
 668.0  0.273216  53.306911
 669.0  0.272708  53.369396
 670.0  0.272199  53.431973
 671.0  0.271708  53.492359
 672.0  0.271227  53.551697
 673.0  0.270752  53.610233
 674.0  0.270293  53.666977
 675.0  0.269840  53.722984
 676.0  0.269243  53.796883
 677.0  0.268716  53.862164
 678.0  0.268221  53.923599
 679.0  0.267809  53.974747
 680.0  0.267344  54.032589
 681.0  0.266905  54.087299
 682.0  0.266468  54.141663
 683.0  0.266022  54.197289
 684.0  0.265563  54.254669
 685.0  0.265110  54.311214
 686.0  0.264666  54.366863
 687.0  0.264191  54.426380
 688.0  0.263714  54.486187
 689.0  0.263252  54.544109
 690.0  0.262753  54.606865
 691.0  0.262295  54.664421
 692.0  0.261811  54.725346
 693.0  0.261383  54.779312
 694.0  0.260922  54.837521
 695.0  0.260530  54.887020
 696.0  0.260092  54.942505
 697.0  0.259711  54.990650
 698.0  0.259236  55.050880
 699.0  0.258790  55.107452
 700.0  0.258340  55.164539
 701.0  0.257908  55.219395
 702.0  0.257480  55.273884
 703.0  0.257054  55.328075
 704.0  0.256652  55.379322
 705.0  0.256282  55.426620
 706.0  0.255867  55.479496
 707.0  0.255492  55.527504
 708.0  0.255099  55.577702
 709.0  0.254579  55.644302
 710.0  0.254211  55.691547
 711.0  0.253773  55.747707
 712.0  0.253330  55.804615
 713.0  0.252902  55.859619
 714.0  0.252457  55.916931
 715.0  0.252061  55.967865
